data;tone
мыльце супер  ;1
товар отличного качества;1
товар пришёл во время  как обещали  всё хорошо  работает  мне нравится;1
всё хорошо  буду пользоваться услугой  ;1
пункт выдачи неисправен  поддержка на месте помочь не смогла  хотя фактически нужно было перезагрузить устройство (пришел курьер: выключил и включил постамат через розетку => помогло получить товар)   не понятно  почему нельзя было сделать это удаленно  что было бы безопаснее;2
пришел бракованный товар  а проверить не было возможности  пришлось заморачиваться с возвратом и везти на пункт далеко от дома  очень неудобно  покупали на подарок  ещё и в спешке пришлось новый искать  куча доп расходов;2
в месте выдачи не было указателей где найти постомат  спросил у местного персонала где найти  хотя может просто не заметил их;2
цифры нажимаются с трудом;2
добрый день  покупка прошла легко и быстро  товар хорошо упакован  качество отличное  проблема возникла с поиском постомата  так как он установлен в помещении парикмахерской  вывеска отсутствует и в помещении его не видно  он стоит в другой части парикмахерской и от двери не просматривается  чтобы пройти к нему  нужно обойти рабочее место парикмахера по лежащим на полу волосам клиента парикмахерской  а это очень неприятно  рекомендую установить вывеску перед входом и перенести постомат ближе к входу/ выходу из парикмахерской ;1
хороший стакан для виски  хорошо упакованный быстрая доставка )все устроило всем рекомендую ??;1
всё пришло во время и в лучшем качестве;1
на коробке написано 10 пакетиков  но внутри оказалось всего два термо колпачка  я сильно недовольна ;3
зарядка подошла к бритве филипс sw 5700;1
вместо 2х штук  была одна ;3
товар пришел хорошо упакован и в срок ;1
по мне так товар норм  дети рады ;1
долго искал с улицы не видно ;2
товар поступил даже раньше назначенной даты  что очень порадовало);1
в описании воронка 16 ?19  доставлена воронка 14 ? 15 ;3
прислали не ту маску для волос;3
товар в ячейке отсутствует ;3
получение прошло успешно ;1
из 12 пакетов молока один оказался пустым  неожиданно;1
высыпаешься действительно быстрее настроение хорошее  ;1
неудобно забирать объемный заказ  нет ручки или чего-то  за что удобно браться;1
огонь в руках  кошак кайфует ;2
все ок   спасибо ;1
всё прекрасно;1
вкусно пахнет хорошо мылиться;1
забрала заказ у себя же на работе;1
коробка с колонкой  запаяной в заводскую плёнку  была упакована просто в плотный пакет  без дополнительной коробки  колонка сама по себе тоже ни во что не упакована кроме тонкого полиэтилена  просто пакетик и тонкий картон упаковки  между делом  4 тысячи  куклы барби более надежно упакованы  прошу обратить на это внимание  ;2
очень хорошая зарядка;1
хотелось бы  чтобы в пвз был хотя бы небольшой столик для распаковки заказов и место  куда выбросить коробку;2
плохое описание товара не дало понять что экран прозрачен и пропускает большую часть света  от чего картинка тусклая ;3
было бы здорово если б возле пос томата стояла мусорка  куда можно сложить коробки и к каждой коробке  был пакет :) ;2
все понравилось;1
много по кл-ву ;1
приятный запах  по качеству за такие деньги  отличная  рекомендую  буду брать ещё ;1
в sms  сообщении ни слова не было о постамате  никаких опознавательных знаков на пути к нему  потратила очень много времени  никогда не сталкивалась с такими проблемами при получении заказа  ;2
товар не соответствует  как можно вернуть? ;3
ребёнку очень понравилось ;1
"заказывала головоломки уровня сложности 4  привезли 2 и 3;  если бы мне были нужны 2 и 3  то я бы их и заказала  ужасное отношение к клиенту и к своей работе ";3
круто;1
всё отлично  но  пришлось обойти весь дом по кругу  но так и не смог найти вывеску пиворакдащука  этой вывески просто нет  выходящий мужчина рассказал  что магазин неделю как съехал  пункт самовывоза находится на углу под вывеской wildberries  ;2
пришел не тот размер  который заказывала  как оформить возврат?;3
очень сложное расположение пункта выдачи ;2
;
не работал пункт выдачи 2 дня  в поддержке ничего конкретного не ответили  только если ходить туда сюда и проверять работу постамата  вместо того  чтобы получить заранее информацию  что не работает или работает  это же не сложно  зачем народ гонять? поддержке респект  ничего не решаем  но оценку за решение хотим?? если не работает пункт два дня  можно чинить  перекинуть заказы в близлежащий  зато реклама везде  что все быстро  четко  в колхозе почтальон работает эффективнее на велосипеде с бутылкой самогона подмышкой;3
экран почтамта еле работает;3
отправил провод от iphone вместо usb type-c ;3
приложение открывает ячейку с 3-4 раза  все пишет  что что- то пошло не так;3
стрейч плёнка в которую был упакован товар была вся грязная как будто упала в грязную лужу  не очень приятно брать в руки и нести сначала в машину а потом домой  ;2
заказ поступил в пункт выдачи в обозначенный день  но поздно вечером  когда уже не было возможности забрать посылку ;2
страшно получать дорогой товар  не имея возможности проверить и в случае неправильного вложения - вернуть на месте ;2
очень плохо работает сенсорный дисплей куда вводить номер  тачскрин не точный ;2
коробку в в ячейку запичкали так что с трудом удалось извлечь ;2
не  открылась ячейка  заказ не получила;3
я ужасно разочарована  заказываю набор во второй раз  первый раз было все нормально  а сейчас упаковку явно вскрывали  мне нужно срочно на подарок  а я вынуждена нервничать  потому что не знаю  что там внутри  отстой;3
беру краску не первый раз цвет положили верный все хорошо;3
отвратительная организация выдачи товара   с огромным трудом получил код для получения товара;3
очень долгая доставка  10 дней  в остальном  всё хорошо  ;2
после трёх неудачных подборов пульта наконец-то нашла тот  что подошёл к нашему skyline ;2
порван пакет с кормом за 2000рублкй;3
отбит маленький кусочек пластика на передней панели з  у  но вроде работает  ;3
привезли другой ;3
упаковка разодрана  одна капсула полностью высыпалась;3
пункт выдачи расположен в таком лабиринте  что найти его почти нереально   точка на карте стоит в совершенно другом магазине   на нужных для входа дверях никаких указателей информирующих о входе нет;2
 имя?;2
не хватает вывески на улице  рядом с постаматом ;2
нужна вывеска на фасаде здания рядом с постаматом ;2
всё получилось  хлеб отменный  чтобы тесто не припеклось к форме  смазала сливочным маслом  буханочка вылетела из формы  ;3
ячейка захлопнулась  решение проблемы занимает слишком много времени ;2
заказал две одинаковые товара привезли разное второе мне непотхотит ;3
"указан не точный адрес постомата  в описании указан магазин fixprice цокольный этаж  должно быть ""вход через фитнес центр ассорти (подвал)""";2
товар был не очень хорошо упакован…это расстроило  но в целом все не плохо ;2
никаких обозначений о пункте выдачи;2
дисплей экрана в постомате не работал код невозможно было ввести много усилий было приложено чтобы получить свой товар ;3
некорректно указан адрес пункта выдачи  по адресу находится жилой частный дом  а пункт выдачи расположен даже не на той улице  которая указана ;3
почти всё нормально  но коробку сдавили сантиметра на 2-3 чтоб она поместилась в постомат  повезло  внутри всё осталось целым ;2
купил кота в мешке  ерунда  как вернуть свои деньги? ;3
подделка ;3
нет вывески на улице о наличии постамата в данном помещении  написано  что работают с 10  приехал в 10 : 30 прождал до 11 - никого нет  позвонил  а он уехал за комплектующими - сказал сейчас подъедет   погулял  подошёл к 12 - он ещё не подъехал   пришлось придти ещё раз позже    ;3
адрес есть а вывески нет;2
пункт выдачи в пивнухе) это стильно);2
пастомат не открыл дверь и написал  что посылка получена ;3
единственное  что не устроило  так это долгая доставка  доставили только на 5 день  к вечеру  ;2
не было возможности проверить товар  по факту был небольшой «скол» маркёром зарисованный  ;3
вход в пункт выдачи в денисовском пер  находится с другого переулка  будет удобнее  если эта инфо будет в смс вместе с инфо как получить заказ;2
заказ пришёл в повреждённой упаковке  ;2
привезли абсолютно другие ледоступы  оставила так как нужны  но конечно же это хамство ;3
картридж не новый  перезаряжен и порошок высыпается  как вернуть это обратно и деньги? ;3
запихнули календарь ты маленькую коробку  как итог - помятый календарь  отвратительный подход к упаковке товаров для доставки ;2
плохая упаковка  коробка мятая и поцарапанная ;2
товар неплохой  но пока до 8 марта неразворачивала  куплен на подарок;2
не могла долго вытащить коробку из ячейки  как её туда впихнули  остаётся только гадать  ;2
на вкус не очень ;3
работает без осечек  каждый раз доводит дело до конца;3
очень люблю этот чай  заказала  товар был в пункте выдачи  ну по крайней мере  так было написано в уведомлении  пошла получать  в итоге ячейка была пустая  первый раз с таким сталкиваюсь  впечатление не очень  надеюсь что деньги вернут  в следующий раз буду заказывать через другие  плейсв;3
вилка не для российских розеток ( переходник положили);3
хорошо упакованные  буду заказывать еще;3
плохо  товар прибыл  рабочий  целый но не тот  что я заказывал ;3
заказ остался в постмате  дверца не открылась  жду вашего ответа ;2
ошиблись с цветом;2
не смогла получить  не открылась ячейка  после ввода кода получения механизм щёлкал и на табло висела надпись ищем ячейку  потом вот ваш заказ  а ни одна ячейка не открылась  позвонила оператору  сообщили  что в течении 48 часов свяжутся со мной  спасибо  было очень приятно (;3
устал искать пункт выдачи  для удобства писали бы ещё в каком магазине находится пункт  заказ получил  упаковка помята  пластиковые крепления для шестигранников поломана  ;2
плохо работает экран для набора номера заказа;3
пришел товар  поганая китайская подделка под uag  поставщик обманщик;3
постомат расположен практически в дверном проёме  забирая заказ мешаешь заходящим в магазин и выходящим из него людям;2
одна бутыль частина отбеливателя была вздута и вскрыта  и не знаю что там налито ;3
привезли не товар не той фирму которую заказывали ;3
покупала в подарок  коробка очень сильно пострадала  отсюда неприятный осадок;2
ждал товар в назначенный день  пришёл на день позже ;2
наклеечку бы на дверь  что тут пункт выдачи есть  а то он на 2м этаже и чтоб найти пришлось смотреть глубоко в приложение ;2
тачскрин на планшете постамата срабатывает после 4-5 нажатия  ;2
абсолютно ненужные   преждевременные звонки   абсолютно некомпетентных людей   с произвольных номеров   в этот раз трубку не стал брать  оценка    0(ноль);3
на здании  в котором находится постомат  нет никакой рекламной вывески или  указателя  -  а;2
все хорошо   ротонда банка была вскрыта   но вроде весь состав на месте ;2
всё устраивает 10 баллов буду заказывать ещё ;3
вывески о пункте выдачи нет  пришлось спрашивать у девочек в озоне  где вывеска была  они ответили пункт там где парикмахерская  нашла её  вывески опять нет  спросила у работников парикмахерской  вообщем целый квест  чтобы забрать заказ  ;2
очень удобный способ открыть постамат из мобильного приложения;3
пункт выдачи не просто найти… там нет никакой вывески с названием кафе или ещё что-то ;2
товар приехал в другой пункт выдачи  сложности с товаром не подошедшем по размеру  не понятно как вернуть товар продавцу  вроде покупал в    е а возвращать приходиться продавцу самому  по непонятному адресу;3
дата доставки и так была больше чем заказаные вместе товары  так потом изменилась в итоге доставка больше 10 дней  упаковка     это тоже первый раз вижу в   пакет перемотанный скотчем  причём не аккуратно  когда стала вскрывать пакет чуть не повредила упаковку  тк скотчем  умотали так что сложно было найти место где начать распаковку ;2
прислали вместо нужного препарата  дронтал от гельминтов;3
заказывал не для себя  пломба на самой  упаковке сахара заменителя  была повреждена  ;3
одна заводская  упаковка была нарушена  часть орехов болтались по коробке ;3
обещали в один день привезти  а привезли в другой ;3
включите bluetooth и постамат найдётся  а вот и не находит  ((;3
хотелось бы  чтобы упаковка была лучше  а не просто наклейка на товаре;3
по данному адресу расположены несколько магазинов  нет никаких отметок где конкретно стоит постамат;2
средство для волос пролилось  это не много подпортило впечатление ;3
купила в подарок ;2
одна деталь с повреждённым лкп  декоративные накладки были не запакованны  просто лежали сверху  резьба нарезана топорно  не советую брать данные товар;3
снимаю звезду за поиск постамата  жесть  уже все пишут такие отзывы  вы хоть вывеску сделайте  ребят  не позорьтесь  вход если что внутри здания  где-то посередине дома  в магазине продукты  и ни одной вывески ;2
это получение в постамате  проверить товар конечно можно ;2
пакет положили прорезанный по середине мука не дешёвая  очень не приятно что пока несла высыпалась часть;3
прислали совершенно не тот заказ  требую возврат или замену  подвели и испортили подарок ;3
прислали не ту модель ;3
постомат затупил  не видел в ближней зоне пункт выдачи  хотя стоял прямо перед ним  поддержка ничем помочь не смогла  попробовал через номер заказа запросить непосредственно через постомат и  все получилось  поддержке минус ;2
на фото выглядит выше  по факту низкий;3
постамат плохо работает  еле еле получила товар;3
чтобы открыть ячейку  нужно выйти на улицу  потом бежать забирать товар  выдача по коду в меню не была указана;3
постамат находится в совершенно ином месте  нежели указано на сайте  магазин хозяйственных товаров не имеет отношения к постамату   постамат находится в помещении рядом с магазином faberlic - это два разных угла здания  а для тех  кто составлял описание располодения постамата на сайте  что магазин находится на углу -сообщаю  что углов у этого здания 5( );3
через блютуз открыть ячейку не удалось  только через код который пришел в смс;3
курагу нельзя отнести к сухофруктом  впечатление суточной замочки перед фасовкой к продаже  ??;3
не удалось получить заказ через приложение - только через код в sms  ;3
заказ получен  но обратная связь предоставлялась после того  как сама писала в поддержку  ни одного звонка от оператора не поступило  ;2
нет указателей пункта выдачи пришлось спрашивать у прохожих ;2
старое молоко изготовлено 07 21 до 04 22 ;2
было не просто забрать заказ  не работал терминал ;3
оплатил  в постамате было пусто ;3
прислали не ту мышку что заказывал  эта мышка на порядок дешевле  имеет совершенно другую форму и не имеет дополнительную кнопку  прислали модель mi wireless mouse 2;3
жаль  что доставка в постамат была вечером  в течении рабочего дня не удалось забрать  пришлось ехать в субботу  тк постамат возле работы  ;2
сложно вводится код ;3
не оптимальная упаковка товара  2 большие  коробки на 3 упаковки ручек  хотя все прекрасно бы поместилось и в одну;3
совсем другую расцветку прислали  не ту что заказывали  не подходит нам ;3
постамат находится на втором этаже но надо идти после того как поднимешься по лестнице повернуть на право и идти до самого конца и там видно постамат  а  ;2
первый раз получила заказ через постамат  защитная коробка была мокрой плюс немного грязной  внутри коробки упаковка с линзами была влажной   вздутой  не приятно  ;2
отсутствие пандуса для колясок и тем самым не возможно заехать в пвз  кроме того узкая и тяжёлая входная дверь  ;2
привезли разбитый товар ;3
плохо срабатывает сенсор экрана ;2
постомат был выключен  пришлось обращаться в техподдержку и идти в пункт выдачи повторно через 2 дня;2
нигде не указано точное расположение постамата  ни в приложении  ни в сообщениях  даже в адресе нет указателей  узнал только после обращения в поддержку  укажите в адресе красноярск  ул  копылова  66 - (мфо деньга);2
данный заказ был доставлен быстро и качественно упакован  но не всегда так бывает  при заказе корма для морской свинки  а заказали 3 упаковки  продавец не сформировал заказ как единый и произошла накладка  в результате одна упаковка вышла по стоимости 3  служба поддержки так же отнеслась к данной ситуации спустя рукава  это было очень неприятно  ;3
заявлено что чехол с магнитом но им и близко не пахнет если телефон упадет  уверена что крышка откроется и вся защита телефона псу под хвост ;3
все отлично  единственное время было указано что привезут к 12:00  по факту привезли позже  было не очень приятно ждать возле пункта выдачи ;2
при звонке оператору в день когда должен прийти заказ мне сообщили что с моим заказом «что то не так» и мне необходимо отказаться от товара и ппрезакащать  через час пришла смс что товар на месте   съездил забрал  оператор не компетентен от слова совсем  ;3
пункт выдачи не работал в указанное время (воскресенье после 18 00)  на следующий день пришлось ждать когда откроют доступ к почтомату ;2
"помимо обозначенного галочкой: вилка гирлянды  которая предназначена для закрепления под потолком  расположена вверху  хотя очевидно  что розетка будет внизу  невозможно использовать гирлянду  т к  она будет работать только с удлинителем; с фильтром для воды нет инструкции по эксплуатации   ";3
несколько раз переносили день доставки ;2
работает только при подключении зарядки и подключается  если отключаешь выключается полностью  и только при зарядке можно подключить наушники к телефону ;3
поработал один день ;2
очень много мусора используется для упаковки товара  хотя товар даже не хрупкий  коробка очень большая притом  что сам товар достаточно маленький  непонятно  зачем все это;2
заказывала ветом 2 500мг  ветеринарный  а прислали человеческий   который в аптеке стоит почти на 300 рублей дешевле  просто развели  очень разочарована;3
товар соответствует описанию с доставкой возникли проблемы  сначала потеряли заказ (деньги вернули)  со второго раза заказ доставили с задержкой на сутки с учетом того  что заказ был подарком ко дню рождения ребенку  находящемуся в другом городе - общая задержка и нервотрепка по этому поводу составила 5 суток ;3
привезли другого героя  а ждали именно того  который был на картинке ;3
немного повреждена почтовая упаковка (стрейч)  но пока вроде всё в порядке ;2
к товару претензий нет  невозможно вскрыть упаковку  чтобы проверить товар в заказе  потому что около постамата нет ни стола  ни стула  и если проверять  то только на полу ;2
описание бы добавить к месту выдачи  еле нашёл постомат ;2
тяжело найти пункт выдачи;2
1  никак не открывалась ячейка  2  минут 25 пришлось связываться н поддержкой  слава богу они помогли ;3
постаматы фиг найдешь  нужно было бы по подробнее расписать их местонахождение  экраны клевые на них ;2
один из гелей был с протечкой  пункт выдачи найти не просто  ;2
"заказывал корм ""ягненок с рисом""  пришел ""ягненок с говядиной""";3
переносили получение  заказа  с 11 01 22 каждый день  дали бонус 500 рублей   которым не успела воспользоваться   испарился  не буду заказывать в    е  тут вечные проблемы  к товару претензий нет ;2
флакон с шампунем оказался поврежден  из него ничего не вытекло только потому что он был замотан в несколько слоёв стрейч плёнки  ;3
привезли другой расцветки ;3
берём не в первый раз  всем довольны  ;3
"пришел к ячейкам    а  на экране мило подвисшее окно ""подключение к терминалу  возврат к основному меню через 51 секунду "" и никого вокруг  ячейку все удалось открыть из мобильного приложения спустя 4-5 минут  после чего терминал отвис и люди за мной смогли получить заказ по коду доступа  тачскрин на экране ужасен и не реагирует на мягкие нажатия ";2
пришло все то что заказывал;1
постамат не открылся  заказ не получен  хотя в статусе получен ;3
заказ пришел в целости и сохранности  этот гель конечно не увеличивает рост ресниц и бровей  зато очень хорошо подходит для их укладки  как раз то  чисто мне нужно было ;3
наушники при работе сами по себе отключаются  а потом включаются  ;2
вместо того что изображено на картинке  привезли серую мятую  тряпку ;3
привезли раствор   линзы не привезли;3
дно банки разбито  товар испорчен  ;3
ввод цифр заторможенный ;2
всё игрушки пришли целые  что судя по отзывам большая редкость  наверное делают выводы  единственное что подпортило впечатление: доставку обещали до 12 :00  это было одним из основных критериев  но ни в 12 ни через 15 минут после  заказа не было  странно  вот что   как только написал в группу поддержки  с просьбой проинформировать где территориально мой заказ(ждать или уже не стоит) так сразу пришло смс о готовности заказа  к самому заказу претензий нет  выручает ;2
стеклянные игрушки были упакованы в пакет  чудом просто целые оказались до этого все игрушки и стекло присылали в коробках хорошо упвкованные  уважаемый   у вас закончились коробки или упаковщики с головой не дружат? к сожалению здесь нельзя фото приложить ;3
упаковка была вся помята и порвана  ;2
товар внутри коробки был грязным;2
слишком маленькие как спичечный коробок;2
нет никакой вывески   нашла не сразу где стоит постамат  дверь в ногтевую студию  в которой  он находится  была закрыта и непонятно там ли постамат или нет  ;2
доставили 1 пакет наполнителя пуси кэт  вместо 2 ;3
заказывал бесцветный герметик на самой упаковке написано бесцветный внутри сам герметик белый;3
бытовая химия и продукты питания в одной посылке и при этом химия не была герметично упакована ;2
привезли без заводской упаковки  т е  в обычной картонной коробке  это не так важно  как то  что туда не положили ни документы о гарантии  ни кабель питания  но спасибо за винты крепления  они были  ;3
описание прохода и нахождения постамата не соответствует действительности  ;3
телефон проблемный;3
подвели с доставкой  перенесли дату  хотя заказывала с расчётом на доставку в конкретный день ;2
товар запаковали в слишком большую коробку и наложили бумаги  в итоге нож в заводской упаковке лежал на дне коробки;2
постамат заставлен тележками  секция открылась не сразу  пришлось минут 5 освобождать постомат от тележек стульев итд;2
для тех кто впервые пользуется автоматом нет никакой инструкции в приложение или физической около автомата  20 минут стоял и танцы устраивал как открыть эту чудо фиговину  оказывается надо тыкнуть в экран  который крутил одну рекламу бесконечную без какой-либо инструкции  ;3
паста пришла засохшая ;3
"для данного пункта выдачи необходимо указать ""цокольный этаж""  так как в основном помещении там другой постамат  и это вводит в заблуждение ";3
из 9 коробок 4 коробки сильно повреждены  содержимое коробок стало просыпаться ;2
как обычно проблема с упаковкой презервативов  она вся порвана  надломана и возникает ощущение  будто ее вскрывали  но это никак не проверить  через 9 месяцев если что  обязательно напишу отзыв про презервативы ;3
привезли  раньше  чем писали изночально ;1
хранится в постамате 2 дня   но можно продлить;2
совершенно не рядом пункт выдачи  ;2
пустой пастомат  товара не было в ячейке;3
пришло все целое и невредимое  но по упаковке было страшно открывать  была сильно помятая;2
адрес на карте не совпадает с заявленным надо писать торговый центр джанфида ;2
от оплаты до пункта выдачи меньше суток  просто браво;1
все хорошо  но товар совершенно никак не упакован  а мог повредиться пакет со стиральным порошком  ;2
ящик постомата открылся по коду  но в нем было пусто  товар не получен  прошу срочно доставить товар по заказу 150700105;3
есть одно но  коробка была запихала в ячейку  еле ее достала((( ;2
слишком долго ждала 3 недели ;2
пришлось установить приложение и открыть ячейки через него ;2
товар при транспортировке открылся и просыпался немного в пакет ;2
не заряжается  работает только от провода  ;2
упаковка как будто играли в футбол (грязная и мятая)  но товар сохранился (повезло)  фото не получилось вставить) ;2
несколько плзжк предполагаемого времени  но я успела  и завтра будутгбааражительно кудрявая  ;2
прислали контейнер зелёного цвета  хотя в описании товара цвет жёлтый  и на картинке цвет жёлтый  ещё и вернуть его не могу  ;3
упаковка в которой находилась гирлянда  разорвана   ;3
жаль нет нуля  в ячейке оказался другой товар  не заказываемый мною  обратился с претензией к операторам в чате ям - пообещали разобраться и  тишина  уже неделя прошла ;3
перепутали получателя  в ячейке был чужой товар;3
привезли не то  просто ужасно;3
задержали доставку;2
долгая доставка ;2
к сожалению  товар был разлит;3
после пользования 2 дней начал облазить товар плохой;3
гайки настоящие  железные;3
красочный  среднего размера ;2
товара вообще не было в ячейке   ;3
бардак в почте  один из пунктов типа в пункт выдачи приехал а не в постамат  но все норм  все на месте;2
ужасный пункт выдачи  находится на действующей стройке;2
нет вывески  где постамат   в этом здании  пытались забрать заказ в пятерочке  у них там есть ещё один постамат  звонили  пытались открыть раз 10  оказалось  что нам нужно в другое место в этом же здании  обошли  вывесок нет  зашли в другой вход и после этого уже нашли  в общем  нужно уточнение куда заходить или хотя бы вывеска ;2
шмотки больше не буду больше покупать ;3
будет точнее  если указать место нахождения постамата-в вестибюле магазина   смарт» ;3
вместо заказанного повербанка привезли магнит зарядник для яблока  написал в службу поддержки  сказали ошибочный товар возвращать не нужно  прислали промокод на сумму заказанного мной повербанка  пере заказать повербанк не получилось  выдало ошибку оплаты  повторно пишет  что код уже использован  ожидаю ответа о оператора для решения конфликта ;3
